,Country,anthem,currency,largestCity,officialLanguage,hypernym,sovereigntyType,timeZoneDst,timeZone,languages,utcOffset,utcOffsetDst,areaSqMi,currencyCode,dateFormat,drivesOn,gdpPppYear,giniChange,giniYear,hdiChange,hdiYear,languages2Type,nationalAnthem,nationalMotto,officialLanguages,patronSaint,populationCensus,populationCensusYear,populationDensitySqMi,populationEstimate,populationEstimateYear,language,motto,percentageOfAreaWater,d,junHighC,religion,source,width,ethnicGroupsYear,gdpNominalRank,ethnicGroup,titlebar,gdpPppPerCapitaRank,languagesType,lowerHouse,religionYear,house,mapCaption,gdpPppRank,sovereigntyNote,giniRank,footerAlign,iso31661Code,perrow,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week % increase,WHO Region,octLowC
39,34,12,21,12,28,5,23,2,4,0,4,5,11,19,7,6,2020,2,2019,1,2019,8,26,5,0,0,-1,-1,36.26,24,8,27,9,5.32,0,-1,6,0,220,0,33,28,0,6,10,0,8,0,8,21,0,-1,0,0,-1,125,15,0,0,2.79,95.84,2.91,9034,1.08,1,-1
40,35,28,22,12,23,1,24,2,4,0,4,5,6,20,9,6,2021,2,2019,1,2019,0,7,0,23,0,-1,-1,319.9,20,7,0,0,1.48,0,-1,0,0,400,6,22,14,1,39,16,17,8,16,0,14,0,-1,2,0,-1,8870,337,5,103,3.86,75.7,5.1,40383,7.48,1,-1
41,36,0,10,4,0,1,25,6,13,15,0,2,35,9,9,6,2021,1,2019,1,2019,0,18,0,0,0,10347892,2021,-1,0,0,22,0,1.2,7,-1,0,0,5600,12,-1,17,1,-1,7,0,1,0,0,0,0,-1,0,0,2,13205,135,2,158,3.42,70.33,4.86,48771,3.13,1,-1
42,37,3,24,12,24,6,26,4,5,0,6,6,41,21,7,6,2021,1,2020,1,2019,7,2,0,25,1,20121641,2011,218.6,8,1,32,0,3,0,-1,0,0,-1,6,47,19,1,44,0,4,1,17,0,16,0,-1,0,7,2,17902,1104,19,151,4.81,56.19,8.55,38139,20.35,1,-1
43,38,24,25,12,0,7,27,0,0,20,3,0,0,23,0,6,2021,2,2018,1,2019,14,0,0,0,0,-1,-1,21.5,0,8,26,0,13,0,-1,0,0,215,5,11,3,0,50,7,18,6,8,9,27,0,98,0,0,2,201097,5607,85,3077,1.63,73.74,2.21,776212,5.21,1,-1
44,39,11,10,2,15,4,37,2,4,17,4,5,0,9,0,6,2017,0,-1,0,2013,5,8,2,14,6,-1,-1,-1,16,8,7,2,0,0,25,1,6,-1,0,174,0,0,11,0,0,0,0,0,13,0,-1,0,0,-1,0,0,0,0,6.01,93.99,6.39,699,0,1,10
45,40,0,26,12,25,7,28,2,4,0,4,7,0,22,0,4,2020,1,2019,1,2019,0,34,0,26,0,-1,-1,211,36,7,0,0,-1,6,-1,0,0,500,6,84,20,1,66,0,0,1,0,6,32,0,-1,0,0,2,23598,411,9,0,2.25,0,0,21253,13.59,1,-1
46,41,0,10,12,26,1,40,2,4,0,4,5,17,9,9,6,2021,2,2019,1,2019,0,1,0,27,4,5397036,2011,287,25,7,0,0,0.72,0,-1,0,0,195,6,59,24,0,41,0,0,1,0,0,30,0,-1,0,0,-1,537,2,0,39,1.28,74.09,1.73,1980,10.15,1,-1
47,42,25,10,12,27,7,0,2,4,0,4,5,37,9,5,6,2020,1,2020,1,2019,0,32,0,28,0,1964036,2002,262,11,8,19,0,0.7,0,-1,0,0,300,2,80,4,1,35,0,14,7,13,0,36,0,-1,0,9,-1,238,5,0,55,5.56,83.04,6.69,1953,6.86,1,-1
48,43,0,10,12,0,7,29,7,13,21,12,1,18,9,9,6,2021,1,2019,1,2019,0,0,0,0,0,0,2020,243,0,0,28,0,0.89,0,-1,0,0,166,0,13,0,0,32,7,6,10,4,0,11,0,103,2,2,-1,93613,0,0,0,10.44,55.2,18.91,264836,2.86,1,-1
49,44,0,27,12,29,1,30,2,4,0,4,5,15,24,2,6,2020,1,2020,1,2019,0,34,1,29,0,-1,-1,65,2,10,32,1,8.37,0,-1,12,0,-1,13,23,26,0,16,5,0,6,0,0,18,0,-1,0,8,-1,73695,398,3,0,7.18,0,0,78048,1.73,1,-1
50,45,31,28,11,15,1,31,2,4,0,4,5,12,7,7,6,2020,1,2018,1,2019,0,10,0,0,2,8327126,2015,-1,40,6,25,0,4.34,0,-1,0,0,300,13,20,27,0,9,0,16,7,5,0,17,0,19,0,1,-1,1599,65,1,200,5.74,89.62,6.4,33634,2.51,1,-1
51,46,30,29,12,30,1,32,0,12,19,9,0,34,25,0,6,2018,0,2015,1,2019,5,34,0,30,0,-1,-1,125.8,42,7,31,0,1.8,0,-1,16,0,-1,5,147,30,1,155,8,1,0,18,0,7,0,-1,0,0,-1,1147,43,1,58,0.83,83.32,1,6921,4.54,1,-1
52,47,0,30,3,31,6,33,0,10,0,7,0,25,26,7,6,2021,1,2018,1,2019,0,0,0,31,0,-1,-1,262,39,2,0,0,2.03,0,-1,0,0,250,10,20,29,0,45,19,0,0,0,0,2,0,56,0,0,-1,10920,919,17,982,2.48,92.71,2.67,220572,2.92,1,-1
53,48,0,32,12,32,1,34,4,5,0,6,6,21,27,0,4,2020,2,2019,1,2019,0,34,0,32,0,48457102,2001,191,0,11,32,0,7,0,-1,0,0,1517,1,56,33,1,108,0,0,7,0,0,20,0,-1,0,0,-1,28258,835,11,317,2.44,55.45,4.4,60767,10.42,1,-1
54,49,6,23,12,0,7,36,8,13,0,0,2,42,10,0,2,2021,2,2019,1,2019,10,4,0,0,0,63182178,2011,701.2,34,7,2,0,1.51,1,-1,15,0,250,6,5,34,0,24,7,7,1,9,0,1,0,33,0,0,-1,254427,688,7,3,15.19,0.48,3190.26,296944,1.6,1,-1
55,50,29,33,9,33,0,35,0,11,22,9,0,13,28,0,6,2020,1,2013,1,2019,5,15,0,33,0,-1,-1,182.8,17,7,6,0,4.9,0,-1,17,0,-1,15,78,30,0,113,2,11,0,12,0,26,0,88,0,0,-1,9414,678,5,569,0.57,55.04,1.04,17149,23.67,1,-1
